IdYearly,Station,Dates,pH,Dissolved Oxygen (mg/L),Water Temperature (°C),Suspended solids (mg/L),Conductivity (µS/cm),5-Day Biochemical Oxygen Demand (mg/L),Ammonia-Nitrogen (mg/L),Total Phosphorus (mg/L),Nitrate-Nitrogen (mg/L),Nitrite-Nitrogen (mg/L)
32,DB1,9/24/2018,6.8,8.1,25.6,310,90,3.6,0.24,0.02,1.3,0.004
33,DB1,10/19/2018,7.1,8.6,23.3,1.6,82,0.1,0.016,0.02,0.59,0.002
34,DB1,11/14/2018,6.7,8.6,23,1.4,79,0.3,0.012,0.02,0.33,0.002
35,DB1,12/14/2018,7.1,10.1,15.2,1.4,35,0.1,0.007,0.02,0.35,0.002
36,DB2,1/25/2018,6.5,9.7,18.2,1.6,46,0.1,0.017,0.02,0.15,0.002
37,DB2,2/23/2018,7.3,10.1,16.4,1.7,44,0.1,0.022,0.02,0.24,0.002
38,DB2,3/22/2018,6.2,9.2,18.8,1.4,51,0.4,0.005,0.02,0.14,0.002
39,DB2,4/23/2018,7.5,8.2,27.8,2.2,68,0.7,0.024,0.02,0.2,0.003
40,DB2,5/24/2018,6.8,7.1,31.8,23,243,0.5,0.03,0.02,0.12,0.002
41,DB2,6/25/2018,6.5,7.8,26.6,440,37,2.7,0.066,0.04,0.21,0.006
42,DB2,7/23/2018,7.4,7.6,29.5,2,164,1.3,4.4,0.04,0.29,0.083
43,DB2,8/29/2018,6.7,7.8,26.2,5.5,102,8,0.74,0.02,0.33,0.003
44,DB2,9/24/2018,7.4,8.2,25.2,170,102,2.6,0.1,0.02,0.42,0.009
45,DB2,10/19/2018,7.5,8.8,23.8,3.5,89,0.1,0.028,0.02,0.26,0.002
46,DB2,11/14/2018,7.4,8.5,23.6,2.6,88,0.3,0.015,0.02,0.18,0.002
47,DB2,12/14/2018,7.4,10.2,15.3,1,41,0.1,0.013,0.02,0.19,0.002
48,DB3,1/25/2018,6.1,9.4,18.3,1.9,47,0.1,0.02,0.02,0.23,0.002
49,DB3,2/23/2018,6.8,9.7,16.4,2.5,44,0.1,0.036,0.02,0.3,0.002
50,DB3,3/22/2018,6.3,9.2,20.6,2.7,55,0.5,0.005,0.02,0.19,0.002
51,DB3,4/23/2018,6.5,7.8,26.8,2,65,0.7,0.079,0.02,0.17,0.005
52,DB3,5/24/2018,6.6,7.9,31.5,2.5,67,0.3,0.006,0.02,0.19,0.002
53,DB3,6/25/2018,5.5,7.6,27.3,1200,33,2.8,0.14,0.24,0.36,0.004
54,DB3,7/23/2018,5.9,7.4,28.4,2.5,97,0.1,0.016,0.02,0.34,0.003
55,DB3,8/29/2018,6,7.6,26.3,18,100,0.1,0.025,0.02,0.59,0.002
56,DB3,9/24/2018,6.2,7.7,25.9,110,95,1,0.082,0.02,0.59,0.002
57,DB3,10/19/2018,6.6,8.3,24.4,1.6,93,0.1,0.029,0.02,0.46,0.002
58,DB3,11/14/2018,6.7,8.5,23.7,1.1,85,0.1,0.027,0.02,0.29,0.002
59,DB3,12/14/2018,6.8,9.8,15.6,1.5,42,0.3,0.019,0.02,0.3,0.002
60,DB5,1/25/2018,6.7,9.2,19.3,4,55,2.3,1.4,0.24,0.27,0.011
61,DB5,2/23/2018,7.1,9.7,17,4.6,50,2.1,0.97,0.21,0.28,0.006
62,DB5,3/22/2018,6.6,8.8,20.9,7.3,75,7.2,2.2,0.57,0.27,0.012
63,DB5,4/23/2018,6.7,7.1,26.9,1.3,95,5.4,2.5,0.49,0.28,0.028
64,DB5,5/24/2018,6.7,7.4,30.9,1.6,94,2.7,2.2,0.28,0.26,0.038
65,DB5,6/25/2018,6,7.7,27.6,780,39,0.9,0.042,0.05,0.23,0.002
66,DB5,7/23/2018,6.5,7.2,30.2,8.1,108,3.3,0.5,0.27,0.24,0.004
67,DB5,8/29/2018,6.2,7.8,26.6,18,89,0.5,0.055,0.02,0.29,0.002
68,DB5,9/24/2018,6.4,7.7,26.1,26,91,1,0.14,0.03,0.32,0.002
69,DB5,10/19/2018,6.7,8.2,25.3,1.2,91,1.2,0.17,0.06,0.28,0.002
70,DB5,11/14/2018,6.8,8.2,24.1,1.8,86,0.6,0.032,0.02,0.21,0.002
71,DB5,12/14/2018,7,9.7,16.3,5.6,40,1,0.064,0.02,0.22,0.002
72,DB6,1/25/2018,6.4,8.9,19.5,2.1,71,0.2,0.047,0.06,0.22,0.002
73,DB6,2/23/2018,7,9.3,17.3,1.4,92,0.3,0.063,0.1,0.3,0.003
74,DB6,3/22/2018,6.6,9.2,21.2,1.4,94,0.5,0.025,0.11,0.077,0.002
75,DB6,4/23/2018,7.1,8.3,26.5,1.7,512,0.7,0.19,0.35,0.038,0.004
76,DB6,5/24/2018,6.8,6.2,31.6,13,360,0.7,0.42,0.3,0.023,0.003
77,DB6,6/25/2018,6.5,6.9,27.6,22,84,0.8,0.069,0.06,0.27,0.005
78,DB6,7/23/2018,6.7,8,29.1,15,405,0.7,0.21,0.17,0.17,0.006
79,DB6,8/29/2018,6.2,7.6,26.4,3.7,103,0.2,0.079,0.04,0.36,0.002
80,DB6,9/24/2018,6.4,7.6,26.6,9.5,132,1.2,0.076,0.06,0.37,0.002
81,DB6,10/19/2018,6.7,8.3,24.6,5.1,115,0.1,0.11,0.07,0.3,0.003
82,DB6,11/14/2018,6.7,8.9,23.7,2,319,0.3,0.081,0.1,0.22,0.002
83,DB6,12/14/2018,6.9,9.8,16.6,7.5,90,0.5,0.039,0.07,0.24,0.002
84,DB8,1/25/2018,6.9,9.3,18.4,15,117,1.9,0.17,0.04,0.9,0.027
85,DB8,2/23/2018,7.3,9.4,15.8,13,136,1.4,0.18,0.02,1.5,0.033
86,DB8,3/22/2018,6.2,8.9,18,4.3,98,0.9,0.039,0.02,0.7,0.006
87,DB8,4/23/2018,7.6,6.2,28.4,33,293,7,0.09,0.12,0.002,0.002
88,DB8,5/24/2018,7,5.5,30.8,4.6,340,2.4,0.099,0.02,0.003,0.002
89,DB8,6/25/2018,7.9,7.6,27.5,570,165,2.6,0.006,0.1,0.43,0.014
90,DB8,7/23/2018,7.2,7.9,27.7,5.4,525,0.3,0.035,0.02,2.1,0.014
91,DB8,8/29/2018,7.5,7.8,26,170,493,0.5,0.051,0.1,2.2,0.034
92,DB8,9/24/2018,8.3,7.9,25.6,850,784,25,23,0.64,1.9,0.057
93,DB8,10/19/2018,7.3,8.1,24,3.6,363,0.1,0.1,0.02,2.2,0.024
94,DB8,11/14/2018,8.2,10.8,23.1,3.7,349,0.4,0.048,0.02,1.5,0.006
95,DB8,12/14/2018,7.4,10.1,15.9,2.2,263,1,0.05,0.02,1.5,0.005
96,FVR1,1/5/2018,7.3,5.2,21.1,8.2,11439,6.1,2.3,0.42,1.5,0.22
97,FVR1,2/2/2018,7.5,5.9,13.2,9.7,8666,3.6,2.5,0.42,1.9,0.23
98,FVR1,3/9/2018,7.3,5.1,17.5,40,5151,7.8,2.7,0.65,0.68,0.14
99,FVR1,4/6/2018,7.4,4.7,26.2,58,10031,7.7,2.8,0.68,0.94,0.16
100,FVR1,5/4/2018,7.5,5.3,26.9,46,8930,4.9,3.3,0.52,1,0.18
101,FVR1,6/4/2018,7.6,6.4,30.1,27,8028,6.8,1.8,0.67,0.83,0.21
102,FVR1,7/6/2018,7.9,8.8,31.3,32,1336,11,1.2,0.85,0.42,0.085
103,FVR1,8/3/2018,7.8,6.5,31,25,2128,12,0.74,0.6,0.36,0.1
104,FVR1,9/5/2018,7.2,5.5,32.4,16,735,4.4,0.74,0.54,0.69,0.082
105,FVR1,10/4/2018,7.9,8.7,27.5,30,5459,7.1,1.1,0.33,0.66,0.2
106,FVR1,11/22/2018,7.5,5.9,23.9,41,14136,5.9,2.8,0.66,0.94,0.17
107,FVR1,12/3/2018,7.3,4.1,24.9,14,9802,3.7,2.5,0.52,1.2,0.19
108,GR1,1/3/2018,7.4,9,21.1,8.2,553,18,17,3.1,1.2,0.15
109,GR1,2/21/2018,7.5,8.5,19.8,5.6,295,6.6,5.9,0.73,2.3,0.43
110,GR1,3/12/2018,8.1,14,23.8,5.4,481,18,12,1,1.6,0.98
111,GR1,4/4/2018,7.8,9.3,29.4,8.8,835,26,32,2.4,1.5,2.1
112,GR1,5/3/2018,7.8,7.4,29.5,11,1049,17,26,1.6,0.95,0.9
113,GR1,6/1/2018,8.6,12.7,33.5,13,460,9.1,5.6,0.38,0.9,0.8
114,GR1,7/5/2018,6.9,7.1,27.8,23,287,2.9,0.91,0.39,0.93,0.18
115,GR1,8/1/2018,7,6.8,29,69,368,1.6,0.88,0.54,1.1,0.22
116,GR1,9/3/2018,7,7.2,27,25,256,1.9,0.57,0.59,1.1,0.099
117,GR1,10/3/2018,7.1,8.3,25.9,11,324,1.9,0.31,0.32,1.1,0.19
118,GR1,11/2/2018,7.2,7.3,21.6,8.9,762,6.6,5.4,0.74,2,0.86
119,GR1,12/12/2018,7.3,9,14.5,13,322,6.5,3.8,0.46,2.5,0.23
120,GR2,1/3/2018,6.5,6.5,20.1,14,307,4.8,6.3,0.3,1.5,0.19
121,GR2,2/21/2018,7.2,6,18.8,8,283,5.5,5,0.29,1.6,0.28
122,GR2,3/12/2018,6.7,4.3,19.4,5,349,3.5,12,0.68,0.78,0.2
123,GR2,4/4/2018,6.6,3.9,23.6,3.8,350,7.5,26,1,0.11,0.052
124,GR2,5/3/2018,7.2,3.1,26.4,8.4,587,5.3,21,1.2,0.042,0.017
125,GR2,6/1/2018,7,4.8,28.1,6,558,3.4,16,0.68,0.027,0.022
126,GR2,7/5/2018,6.7,4.7,27.4,12,360,2.5,0.62,0.93,1.2,0.76
127,GR2,8/1/2018,6.7,5.6,28.1,15,294,5.3,0.24,0.25,0.93,0.067
128,GR2,9/3/2018,6.8,6,26.7,29,182,1.7,0.51,0.3,0.57,0.064
129,GR2,10/3/2018,6.8,7.4,26.1,11,250,1.5,0.28,0.2,0.8,0.081
130,GR2,11/2/2018,7,6.6,21.1,9,352,2,0.45,0.29,1.7,0.12
131,GR2,12/12/2018,7.3,5.4,15.2,10,320,5.8,5.6,0.41,1.6,0.26
132,GR3,1/3/2018,6.7,8.2,19,6.7,146,0.5,0.076,0.02,0.23,0.004
133,GR3,2/21/2018,7.5,8.1,18.7,9.2,146,0.8,0.12,0.02,0.48,0.005
134,GR3,3/12/2018,7,8.2,19.4,3.4,139,0.4,0.098,0.02,0.53,0.003
135,GR3,4/4/2018,6.5,6.8,23.4,6.4,184,1.1,0.1,0.06,0.55,0.009
136,GR3,5/3/2018,7.2,5.9,25.4,5,292,1.8,0.38,0.02,0.55,0.03
137,GR3,6/1/2018,6.9,5.6,27.5,2.4,147,0.8,0.37,0.02,0.58,0.021
138,GR3,7/5/2018,6.5,7.3,25.4,22,176,2.6,0.019,0.02,0.24,0.007
139,GR3,8/1/2018,7.2,7.7,26.1,3,103,0.1,0.063,0.02,0.22,0.002
140,GR3,9/3/2018,7,8,25.3,24,94,0.5,0.025,0.06,0.2,0.002
141,GR3,10/3/2018,6.6,8.3,23.8,0.5,185,0.2,0.048,0.02,0.17,0.005
142,GR3,11/2/2018,7,8.4,20.5,3.7,172,0.9,0.045,0.02,0.29,0.002
143,GR3,12/12/2018,7.2,9.5,16.1,6.2,124,0.3,0.078,0.02,0.23,0.003
144,IN1,1/3/2018,6.7,6.4,20.5,75,445,12,3.7,0.69,4,0.14
145,IN1,2/21/2018,7.2,5.2,22,45,558,6,1.7,0.7,4.2,0.15
146,IN1,3/12/2018,6.7,5.4,21.9,13,470,3.8,1.1,0.56,3.8,0.18
147,IN1,4/4/2018,7,4.4,26.3,71,488,7.5,2.5,0.67,4.7,0.15
148,IN1,5/3/2018,7,4.7,27.1,85,377,3.8,1,0.28,2.6,0.087
149,IN1,6/1/2018,7,3.4,31.4,36,741,3.4,2.4,0.29,6.8,0.17
150,IN1,7/5/2018,7,5,29.6,32,423,4.6,1.1,0.33,1.4,0.13
151,IN1,8/1/2018,6.9,4.2,30.3,17,573,5.7,1.2,0.3,3.8,0.13
152,IN1,9/3/2018,6.8,5.9,27.8,41,255,2.7,0.93,0.36,0.66,0.051
153,IN1,10/3/2018,6.7,5.5,26.3,19,305,3.4,1.3,0.22,1.2,0.13
154,IN1,11/2/2018,6.8,6.2,22.1,8,351,3.9,0.81,0.2,2.2,0.17
155,IN1,12/12/2018,7,6.6,17.1,44,387,4.9,1.4,0.83,3.3,0.084
156,IN2,1/3/2018,6.7,7.3,21,7.2,200,2.3,0.94,0.15,1.1,0.18
157,IN2,2/21/2018,7.1,7.2,20.4,7.9,239,3.5,1.6,0.19,1.4,0.24
158,IN2,3/12/2018,6.8,6.8,21.5,5.8,265,1.7,1.1,0.18,1.3,0.18
159,IN2,4/4/2018,6.7,7.4,25.5,8,260,2.2,1.1,0.16,1.3,0.3
160,IN2,5/3/2018,7.5,8.2,29.6,11,379,3.9,0.99,0.13,1.3,0.29
161,IN2,6/1/2018,8.7,12.2,32.6,8.2,393,12,0.84,0.17,1.2,0.29
162,IN2,7/5/2018,6.8,5.5,28.2,6,259,1.8,0.47,0.16,1.1,0.15
163,IN2,8/1/2018,7.3,9.4,29.8,4.9,269,3.6,0.41,0.11,1.1,0.16
164,IN2,9/3/2018,6.9,7.9,26.2,29,134,0.8,0.17,0.1,0.61,0.025
165,IN2,10/3/2018,7.1,6.9,25.5,4.2,207,1.1,0.52,0.1,0.82,0.12
166,IN2,11/2/2018,7,8.3,21.2,6.2,201,2.2,0.41,0.11,1.2,0.15
167,IN2,12/12/2018,7.1,7.4,16.5,11,165,2.4,0.81,0.14,1.3,0.13
168,IN3,1/3/2018,10.1,8.9,21.3,3.4,497,1.8,0.23,0.14,0.48,0.12
169,IN3,2/21/2018,7.8,8.5,19.6,2.6,560,1.5,0.1,0.08,0.9,0.1
170,IN3,3/12/2018,9.1,8.5,22.6,3.7,481,1.4,0.063,0.06,0.62,0.14
171,IN3,4/4/2018,7.8,8.5,25.7,4,495,0.9,0.092,0.06,0.51,0.083
172,IN3,5/3/2018,10.3,7.7,28.4,12,506,4.1,0.48,0.13,0.57,0.26
173,IN3,6/1/2018,7.3,6,27.3,6.4,1081,2.8,0.29,0.09,0.46,0.23
174,IN3,7/5/2018,8.3,6.4,27.1,390,242,1.1,0.095,0.22,0.49,0.017
175,IN3,8/1/2018,8.3,7.2,29,1.8,307,0.2,0.045,0.17,0.56,0.012
176,IN3,9/3/2018,7.8,6.7,26.5,12,126,0.9,0.088,0.21,0.44,0.03
177,IN3,10/3/2018,8.8,8,26,4,206,0.3,0.09,0.11,0.45,0.014
178,IN3,11/2/2018,7.6,8.6,22.3,4.8,195,0.6,0.032,0.11,0.58,0.009
179,IN3,12/12/2018,7.5,8.6,18,260,174,0.9,0.12,0.27,0.88,0.031
180,JR11,1/19/2018,7,9.7,17.2,1.4,185,2.2,0.044,0.68,4.3,0.2
181,JR11,2/26/2018,7.1,9.7,16.8,5.9,177,2.9,0.17,0.82,5.6,0.24
182,JR11,3/21/2018,6.4,10.1,16.3,2.6,201,2.2,0.11,0.92,5.1,0.11
183,JR11,4/19/2018,7.2,9,20.6,1.8,225,1.4,0.081,0.76,4.5,0.1
184,JR11,5/16/2018,7.4,8.4,25.4,3.3,278,4.2,0.059,0.78,5.2,0.059
185,JR11,6/20/2018,7.5,8.4,26.9,1.8,223,1.1,0.025,0.41,3.2,0.052
186,JR11,7/26/2018,7.2,8.2,26.5,2.8,169,0.6,0.044,0.2,1.5,0.037
187,JR11,8/22/2018,7,8,26.5,1.8,122,0.8,0.079,0.15,1.4,0.052
188,JR11,9/10/2018,7,8.4,25.8,3.6,128,0.9,0.063,0.19,1.8,0.061
189,JR11,10/11/2018,6.8,8.9,21.8,1.6,176,0.8,0.048,0.26,2.5,0.038
190,JR11,11/12/2018,6.8,8.9,22,8,208,0.6,0.036,0.46,4.3,0.03
191,JR11,12/10/2018,7.1,9.7,17.1,2.4,170,0.6,0.1,0.54,4.5,0.063
192,JR3,1/19/2018,6.7,5.3,18.2,4.4,267,15,11,1.1,0.48,0.075
193,JR3,2/26/2018,7.1,4.6,17.9,1.8,286,15,13,1.2,0.45,0.063
194,JR3,3/21/2018,6.9,5.9,19.3,5,301,11,8.1,0.69,1.7,0.17
195,JR3,4/19/2018,8.8,4.2,22.6,7.6,384,14,13,1,0.6,0.11
196,JR3,5/16/2018,7.2,3.9,28.3,120,415,60,11,0.9,0.002,0.003
197,JR3,6/20/2018,7,7.6,27.2,6.8,302,15,4.6,0.57,1.6,0.28
198,JR3,7/26/2018,6.6,6.5,26.2,9,219,4.3,2.1,0.25,1.5,0.13
199,JR3,8/22/2018,7.1,7.1,26.5,2.5,188,3.9,1.9,1.2,1.3,0.081
200,JR3,9/10/2018,6.6,7.3,25.8,4.7,171,5.8,2.1,0.28,1.4,0.18
201,JR3,10/11/2018,6.8,6.5,23.3,5.4,244,8.1,3.7,0.36,1.6,0.24
202,JR3,11/12/2018,7.1,5.5,23.3,6.6,279,10,5.6,0.65,1.2,0.31
203,JR3,12/10/2018,6.9,4.6,18.4,7.8,234,10,7.2,0.76,1.3,0.23
204,JR6,1/19/2018,7.1,8.2,19.3,9,199,6,0.56,0.64,2.3,0.17
205,JR6,2/26/2018,7,8,18,63,173,23,0.46,1.1,3.2,0.17
206,JR6,3/21/2018,6.9,7.7,19.3,12,130,7.7,0.47,0.79,2.6,0.2
207,JR6,4/19/2018,7.2,7.4,23.1,9,237,3.5,0.53,0.68,2.4,0.17
208,JR6,5/16/2018,7.3,6.9,26.3,7.1,247,9.1,0.34,0.76,3,0.17
209,JR6,6/20/2018,7.5,7.3,27.6,3.9,248,4.6,0.08,0.39,2,0.069
210,JR6,7/26/2018,7.3,7.6,27.5,3.7,244,1.9,0.17,0.38,1.7,0.052
211,JR6,8/22/2018,7.1,7.5,27,2.7,156,1.6,0.041,0.23,1.3,0.02
212,JR6,9/10/2018,7.2,8,26,3.7,198,2.8,0.32,0.42,2.1,0.055
213,JR6,10/11/2018,7.1,8.1,23.5,1.4,215,4.3,0.7,0.38,2.9,0.091
214,JR6,11/12/2018,7.1,7.8,23.6,2.3,251,5.6,0.21,0.56,3.2,0.15
215,JR6,12/10/2018,7.4,8.5,20,6.3,210,4.8,0.14,0.56,2.7,0.088
216,KN1,1/4/2018,7.3,7.1,21.9,2.6,14588,4.5,3.5,1.7,2.8,0.69
217,KN1,2/8/2018,7.2,7.3,18.2,2.4,15790,3.2,4,1.4,4,1
218,KN1,3/15/2018,7.2,6.4,22.5,6.4,21512,3.5,2.7,1.3,1.7,0.91
219,KN1,4/27/2018,7.2,4.6,25.4,2,20018,2.4,1.4,1.7,4.2,0.72
220,KN1,5/25/2018,7.3,5,29.8,4,20104,3.1,1.6,1.7,4.7,0.65
221,KN1,6/22/2018,7.4,5.9,29.7,2.2,16741,4.2,1.4,0.9,4.3,0.71
222,KN1,7/20/2018,7.4,6.2,27.5,6.7,9807,2.8,0.76,0.53,1.6,0.34
223,KN1,8/24/2018,7.2,3.7,28,5.9,15516,3.7,0.62,0.35,1.7,0.28
224,KN1,9/14/2018,7,4.5,28.8,0.7,16565,2.7,0.98,1.1,3.4,0.46
225,KN1,10/15/2018,7.4,4.9,27.3,3,20224,2.7,1.5,1.4,3.5,0.6
226,KN1,11/21/2018,7.3,5,27.4,2.3,24074,1.2,0.71,1.4,4.9,0.37
227,KN1,12/5/2018,7.2,5.2,25.8,2.3,24077,2.3,4.7,1.4,2.3,0.71
228,KN2,1/4/2018,7.1,7,21.9,2.9,10553,5,3.9,1.9,3.4,0.9
229,KN2,5/25/2018,7.2,6.6,30.3,4.4,13403,3,0.99,2,6.6,0.79
230,KN2,6/22/2018,7.3,6.9,30.2,13,12587,4.5,0.68,1,4.9,0.63
231,KN2,7/20/2018,7.3,6.6,29,10,10362,3.7,1.1,0.94,3,0.69
232,KN2,8/24/2018,7.2,5.4,29.7,6.2,16446,3.9,0.49,0.75,3.8,0.4
233,KN2,9/14/2018,7.1,5.9,30.2,4,15789,3.5,0.98,1.3,4.5,0.61
234,KN2,10/15/2018,7.3,5.2,27.3,3.7,19574,3.2,1.5,1.5,3.7,0.65
235,KN2,11/21/2018,7.3,6.1,27.9,4.2,21974,1.6,0.54,1.3,4.4,0.36
236,KN2,12/5/2018,7.2,6.2,25.8,5.8,22325,5,3.8,1.3,2.8,0.81
237,KN3,3/15/2018,7.1,6.8,24.4,7,9933,5.3,3.9,2,2.5,1.2
238,KN3,5/25/2018,7.2,6.7,30.3,6.1,11858,3.7,0.79,1.9,7.8,0.79
239,KN3,6/22/2018,7.3,7.3,29.5,30,6539,14,0.34,0.59,3.1,0.37
240,KN3,7/20/2018,7.3,6.8,29.4,7.4,11304,3.7,0.97,1,3.9,0.76
241,KN3,8/24/2018,7.3,6.6,30,3.4,13644,2.9,0.46,0.8,4.3,0.36
242,KN3,9/14/2018,7.1,6.4,30.2,6.6,14994,4.3,0.78,1.2,4.7,0.56
243,KN3,10/15/2018,7.4,6.6,27.9,6.6,15327,5.1,1,1.5,4.6,0.8
244,KN3,11/21/2018,7.4,6.9,27.7,6.1,19316,1.4,0.43,1.4,4.8,0.31
245,KN3,12/5/2018,7.1,6.5,26.4,6.3,18741,6,2.9,1.2,3.8,0.8
246,KN4,3/15/2018,7,6.8,24,9.3,10442,7.9,3.2,2,2.6,1.3
247,KN4,4/27/2018,7.2,6.8,26.1,4.3,12523,4.4,0.89,1.9,5,0.78
248,KN4,5/25/2018,7.3,6.5,30.1,6.6,13629,4.9,0.84,1.9,5.7,0.73
249,KN4,6/22/2018,7.2,7,29.6,100,7939,51,0.044,0.66,0.35,0.59
250,KN4,7/20/2018,7.2,6.9,29.5,3.2,12346,3.7,0.76,0.93,4.5,0.67
251,KN4,8/24/2018,7.2,6.8,29.9,4.4,13160,3,0.43,0.77,4.2,0.34
252,KN4,9/14/2018,7.2,6.8,30,6,14212,5.6,0.63,1.2,4.7,0.53
253,KN4,10/15/2018,7.4,6.9,27.8,8.2,14355,5.9,0.69,1.5,4.9,0.66
254,KN4,11/21/2018,7.3,7,28,8,17446,2.2,0.3,1.6,5.3,0.23
255,KN4,12/5/2018,6.9,6.7,26.9,15,16831,9.4,2,1.2,4.7,0.82
256,KN5,1/4/2018,7.1,7.7,23.1,7.4,6423,8.1,2,1.5,4.2,0.82
257,KN5,2/8/2018,7,8.5,19.7,11,6684,11,1.7,1.4,4.7,1.3
258,KN5,3/15/2018,7,7.4,24.5,12,8273,11,1.9,1.7,3,1.2
259,KN5,4/27/2018,7,7.5,26.4,4.3,9117,4.1,0.56,1.9,5,0.54
260,KN5,5/25/2018,7.1,7.3,30.6,6.5,9843,4.8,0.39,1.9,6.8,0.49
261,KN5,6/22/2018,7.2,7.2,30.2,7.9,8284,4.5,0.36,0.98,5.1,0.4
262,KN5,7/20/2018,7.1,7.4,29.6,6.5,10608,3.5,0.62,0.94,4.9,0.63
263,KN5,8/24/2018,7.2,7.2,30,4.8,11850,3,0.34,0.81,4.5,0.29
264,KN5,9/14/2018,7,7.1,30.4,6.4,13010,3.7,0.42,1,5,0.41
265,KN5,10/15/2018,7.2,7.1,27.8,7.1,13672,5.5,0.38,1.5,5.2,0.49
266,KN5,11/21/2018,7.2,7.2,28,9.2,16805,4.5,0.24,1.6,5.3,0.2
267,KN5,12/5/2018,6.9,6.8,26.3,13,16155,11,1.5,1.2,5,0.83
268,KN7,1/4/2018,6.9,8.1,23.3,6,6165,6.9,1.8,1.4,4.3,0.77
269,KN7,2/8/2018,6.9,8.6,19.9,6,6407,11,1.4,1.4,4.8,1.2
270,KN7,3/15/2018,6.9,7.8,24.4,9.5,8665,9.5,1.5,1.5,3.2,1.2
271,KN7,4/27/2018,6.9,7.6,26.6,1.9,9044,3.6,0.42,1.9,5.4,0.53
272,KN7,5/25/2018,7,7.1,30.7,5.7,9682,4.4,0.28,2,6.7,0.41
273,KN7,6/22/2018,7,7.3,30.3,3,8462,3,0.33,1.1,5.4,0.38
274,KN7,7/20/2018,6.9,7.2,29.6,4.8,11038,3.2,0.55,0.96,5.3,0.66
275,KN7,8/24/2018,7.1,7.1,30,3.8,12118,1.7,0.27,0.81,4.7,0.3
276,KN7,9/14/2018,6.9,7.1,30.4,3,13140,2.9,0.34,1.1,5.2,0.39
